"TIPO_EVENTO";"DEPARTAMENTO";"CODIGO_DANE_DEPARTAMENTO";"MUNICIPIO";"CODIGO_DANE_MUNICIPIO";"AÑO";"MES";"EVENTO";"TIPO_LUGAR";"TIPO_AREA";"LATITUD_CABECERA";"LONGITUD_CABECERA";"SITIO";"UBICACION";"uno";"date"
"Sospecha de campo minado";"CHOCO";27;"EL CARMEN DEL ATRATO";27245;2005;5;"Incidente";"Sin informacion";"Rural";5.892603;-76.145891;"";"POINT (-76.145891 5.892603)";"2005-05-01";38473
"Accidente por MAP";"CALDAS";17;"SAMANÁ";17662;2006;2;"Accidente";"Sin informacion";"Rural";5.530278;-75.070278;"Vereda San Vicente";"POINT (-75.070278 5.530278)";"2006-02-01";38749
"Sospecha de campo minado";"CALDAS";17;"SAMANÁ";17662;2016;9;"Incidente";"Sendero";"Rural";5.61388;-75.01724;"SCM_BIDES_2016_4725";"POINT (-75.01724 5.61388)";"2016-09-01";42614
"Desminado militar en operaciones";"CAQUETA";18;"PUERTO RICO";18592;2012;12;"Incidente";"Sin informacion";"Rural";2.04;-75.17083333;"Vereda El Chamuscado";"POINT (-75.17083333 2.04)";"2012-12-01";41244
"Accidente por MUSE";"CAUCA";19;"SILVIA";19743;2001;7;"Accidente";"Sin informacion";"Rural";2.612476;-76.379474;"Vereda El Cacique";"POINT (-76.379474 2.612476)";"2001-07-01";37073
"Desminado militar en operaciones";"PUTUMAYO";86;"PUERTO CAICEDO";86569;2015;3;"Incidente";"Sin informacion";"Rural";0.6972222222;-76.42416667;"Vereda Nueva Arabia";"POINT (-76.42416667 0.6972222222)";"2015-03-01";42064
"Desminado militar en operaciones";"SANTANDER";68;"GIRÓN";68307;2012;11;"Incidente";"Sin informacion";"Rural";7.113888889;-73.3822222;"Vereda La Marta";"POINT (-73.3822222 7.113888889)";"2012-11-01";41214
"Desminado militar en operaciones";"META";50;"EL DORADO";50270;2010;6;"Incidente";"Sin informacion";"Rural";3.713889;-73.869167;"La Vereda Alto San Pedro";"POINT (-73.869167 3.713889)";"2010-06-01";40330
"Incautaciones";"CUNDINAMARCA";25;"SAN BERNARDO";25649;2006;2;"Incidente";"Sin informacion";"Rural";4.178592;-74.421498;"";"POINT (-74.421498 4.178592)";"2006-02-01";38749
"Desminado militar en operaciones";"CUNDINAMARCA";25;"MEDINA";25438;2002;7;"Incidente";"Sin informacion";"Rural";4.437222;-73.456944;"";"POINT (-73.456944 4.437222)";"2002-07-01";37438
"Desminado militar en operaciones";"ANTIOQUIA";5;"ANORÍ";5040;2011;11;"Incidente";"Sin informacion";"Rural";7.088611;-75.193611;"Vereda La Sofia";"POINT (-75.193611 7.088611)";"2011-11-01";40848
"Accidente por MAP";"ANTIOQUIA";5;"ITUANGO";5361;2009;11;"Accidente";"Sin informacion";"Rural";7.171637;-75.764403;"Vereda La Miranda";"POINT (-75.764403 7.171637)";"2009-11-01";40118
