"TIPO_EVENTO";"DEPARTAMENTO";"CODIGO_DANE_DEPARTAMENTO";"MUNICIPIO";"CODIGO_DANE_MUNICIPIO";"AÑO";"MES";"EVENTO";"TIPO_LUGAR";"TIPO_AREA";"LATITUD_CABECERA";"LONGITUD_CABECERA";"SITIO";"UBICACION";"uno";"date"
"Desminado militar en operaciones";"PUTUMAYO";86;"MOCOA";86001;2010;7;"Incidente";"Sin informacion";"Rural";1.193611;-76.667778;"La Vereda Mongliart";"POINT (-76.667778 1.193611)";"2010-07-01";40360
"Accidente por MAP";"TOLIMA";73;"PLANADAS";73555;2007;12;"Accidente";"Sin informacion";"Rural";3.054722222;-75.75138889;"Vereda San Miguel";"POINT (-75.75138889 3.054722222)";"2007-12-01";39417
"Incautaciones";"ANTIOQUIA";5;"SEGOVIA";5736;1994;11;"Incidente";"Sin informacion";"Rural";7.080232;-74.698921;"";"POINT (-74.698921 7.080232)";"1994-11-01";34639
"Desminado militar en operaciones";"VAUPES";97;"CARURÚ";97161;2013;8;"Incidente";"Sin informacion";"Rural";1.026388889;-71.30944444;"Area General Caruru";"POINT (-71.30944444 1.026388889)";"2013-08-01";41487
"Desminado militar en operaciones";"CAQUETA";18;"SAN VICENTE DEL CAGUÁN";18753;2016;5;"Incidente";"Sin informacion";"Rural";2.653333333;-74.87666667;"CHORRERAS";"POINT (-74.87666667 2.653333333)";"2016-05-01";42491
"Desminado militar en operaciones";"CESAR";20;"EL COPEY";20238;1992;11;"Incidente";"Sin informacion";"Rural";10.151103;-73.960141;"";"POINT (-73.960141 10.151103)";"1992-11-01";33909
"Desminado militar en operaciones";"TOLIMA";73;"CHAPARRAL";73168;2013;4;"Incidente";"Sin informacion";"Rural";3.660555556;-75.6741667;"Sector Quebrada Negra";"POINT (-75.6741667 3.660555556)";"2013-04-01";41365
"Desminado militar en operaciones";"CAQUETA";18;"PUERTO RICO";18592;2016;6;"Incidente";"Sin informacion";"Rural";2.2875;-75.09611111;"YARUMAL BAJO";"POINT (-75.09611111 2.2875)";"2016-06-01";42522
"Desminado militar en operaciones";"META";50;"URIBE";50370;2011;3;"Incidente";"Sin informacion";"Rural";2.908611;-74.236111;"La Vereda Buenos Aires";"POINT (-74.236111 2.908611)";"2011-03-01";40603
"Desminado militar en operaciones";"META";50;"URIBE";50370;2015;1;"Incidente";"Sin informacion";"Rural";2.775;-74.20083333;"Vereda La Estrella";"POINT (-74.20083333 2.775)";"2015-01-01";42005
"Incautaciones";"SUCRE";70;"COLOSÓ";70204;2000;9;"Incidente";"Sin informacion";"Rural";9.48494;-75.360993;"";"POINT (-75.360993 9.48494)";"2000-09-01";36770
"Desminado militar en operaciones";"PUTUMAYO";86;"PUERTO ASÍS";86568;2012;12;"Incidente";"Sin informacion";"Rural";0.49666667;-76.49611111;"Barrio Villa Paz 1";"POINT (-76.49611111 0.49666667)";"2012-12-01";41244
"Desminado militar en operaciones";"NARIÑO";52;"TUMACO";52835;2019;3;"Incidente";"Sin informacion";"Rural";1.310277778;-78.54027778;"LA GALLETA";"POINT (-78.54027778 1.310277778)";"2019-03-01";43525
"Desminado militar en operaciones";"CAQUETA";18;"CARTAGENA DEL CHAIRÁ";18150;2011;4;"Incidente";"Sin informacion";"Rural";1.391667;-74.973611;"San Jose De Risaralda";"POINT (-74.973611 1.391667)";"2011-04-01";40634
"Desminado militar en operaciones";"NORTE DE SANTANDER";54;"ÁBREGO";54003;2010;8;"Incidente";"Sin informacion";"Rural";8.220833;-72.993056;"Vega Del Tigre";"POINT (-72.993056 8.220833)";"2010-08-01";40391
"Desminado militar en operaciones";"HUILA";41;"COLOMBIA";41206;2009;1;"Incidente";"Sin informacion";"Rural";3.459167;-74.668333;"Vereda San Jerónimo";"POINT (-74.668333 3.459167)";"2009-01-01";39814
"Desminado militar en operaciones";"META";50;"EL DORADO";50270;2009;7;"Incidente";"Sin informacion";"Rural";3.703333;-73.869722;"Vereda San Pedro Alto";"POINT (-73.869722 3.703333)";"2009-07-01";39995
"Desminado militar en operaciones";"CAUCA";19;"CORINTO";19212;2013;4;"Incidente";"Sin informacion";"Rural";3.133333333;-76.2022222;"Vereda Danubio";"POINT (-76.2022222 3.133333333)";"2013-04-01";41365
"Desminado militar en operaciones";"CAQUETA";18;"CARTAGENA DEL CHAIRÁ";18150;2005;12;"Incidente";"Sin informacion";"Rural";0.854722;-74.387222;"";"POINT (-74.387222 0.854722)";"2005-12-01";38687
"Desminado militar en operaciones";"META";50;"PUERTO RICO";50590;2012;6;"Incidente";"Sin informacion";"Rural";2.758333;-73.046944;"Vereda Las Chipas";"POINT (-73.046944 2.758333)";"2012-06-01";41061
"Accidente por MAP";"META";50;"GRANADA";50313;2007;4;"Accidente";"Sin informacion";"Rural";3.544873;-73.706262;"Sin información";"POINT (-73.706262 3.544873)";"2007-04-01";39173
"Desminado militar en operaciones";"VALLE DEL CAUCA";76;"BUGA";76111;2010;6;"Incidente";"Sin informacion";"Rural";3.855278;-75.975833;"La Vereda El Retiro";"POINT (-75.975833 3.855278)";"2010-06-01";40330
"Desminado militar en operaciones";"PUTUMAYO";86;"PUERTO ASÍS";86568;2009;6;"Incidente";"Sin informacion";"Rural";0.353889;-76.547222;"El Lorenzo";"POINT (-76.547222 0.353889)";"2009-06-01";39965
"Desminado militar en operaciones";"META";50;"CUBARRAL";50223;2006;1;"Incidente";"Sin informacion";"Rural";3.786111111;-74.36138889;"";"POINT (-74.36138889 3.786111111)";"2006-01-01";38718
"Desminado militar en operaciones";"META";50;"URIBE";50370;2014;4;"Incidente";"Sin informacion";"Rural";2.994444444;-74.2175;"Inspeccion La Julia";"POINT (-74.2175 2.994444444)";"2014-04-01";41730
"Desminado militar en operaciones";"ARAUCA";81;"TAME";81794;2014;11;"Incidente";"Sin informacion";"Rural";6.566111111;-71.74138889;"Vereda Angosturas";"POINT (-71.74138889 6.566111111)";"2014-11-01";41944
"Desminado militar en operaciones";"CASANARE";85;"LA SALINA";85136;2014;4;"Incidente";"Sin informacion";"Rural";6.125277778;-72.33888889;"Parte Alta Casco Urbano";"POINT (-72.33888889 6.125277778)";"2014-04-01";41730
"Desminado militar en operaciones";"ANTIOQUIA";5;"AMALFI";5031;2013;6;"Incidente";"Sin informacion";"Rural";7.089166667;-74.91527778;"Monte Bajo";"POINT (-74.91527778 7.089166667)";"2013-06-01";41426
"Sospecha de campo minado";"ANTIOQUIA";5;"GRANADA";5313;2013;4;"Incidente";"Acueducto";"Rural";6.11323;-75.09605;"Reporte Rul_2013_25 Vereda El Roblal";"POINT (-75.09605 6.11323)";"2013-04-01";41365
"Desminado militar en operaciones";"BOLIVAR";13;"CANTAGALLO";13160;2010;2;"Incidente";"Sin informacion";"Rural";7.275556;-74.066667;"El Gran Chaparral";"POINT (-74.066667 7.275556)";"2010-02-01";40210
"Accidente por MAP";"TOLIMA";73;"VILLAHERMOSA";73870;2005;11;"Accidente";"Sin informacion";"Rural";5.03035;-75.11827;"Vereda El Resguardo";"POINT (-75.11827 5.03035)";"2005-11-01";38657
"Desminado militar en operaciones";"CAQUETA";18;"PUERTO RICO";18592;2014;5;"Incidente";"Sin informacion";"Rural";2.008333333;-75.02166667;"Verad El Libano";"POINT (-75.02166667 2.008333333)";"2014-05-01";41760
"Accidente por MAP";"CAUCA";19;"EL TAMBO";19256;2004;9;"Accidente";"Sin informacion";"Rural";2.451476;-76.810904;"Vereda Fondas";"POINT (-76.810904 2.451476)";"2004-09-01";38231
"Accidente por MAP";"ANTIOQUIA";5;"VALDIVIA";5854;2013;10;"Accidente";"Sin informacion";"Rural";7.165222;-75.438081;"Vereda La Coposa";"POINT (-75.438081 7.165222)";"2013-10-01";41548
"Incautaciones";"CAQUETA";18;"MORELIA";18479;2003;5;"Incidente";"Sin informacion";"Rural";1.486799;-75.727518;"";"POINT (-75.727518 1.486799)";"2003-05-01";37742
"Accidente por MAP";"CAQUETA";18;"MILÁN";18460;2002;5;"Accidente";"Sin informacion";"Rural";1.289829;-75.507011;"Vereda Bello Horizonte";"POINT (-75.507011 1.289829)";"2002-05-01";37377
"Accidente por MAP";"CAUCA";19;"PATÍA";19532;2006;2;"Accidente";"Sin informacion";"Rural";2.298056;-77.034445;"Sitio Don Alonso";"POINT (-77.034445 2.298056)";"2006-02-01";38749
"Accidente por MAP";"ANTIOQUIA";5;"ANORÍ";5040;2010;12;"Accidente";"Sin informacion";"Rural";7.298674651;-75.15603105;"Finca El Hoyo-Vereda Solano";"POINT (-75.15603105 7.298674651)";"2010-12-01";40513
"Accidente por MAP";"META";50;"SAN JUAN DE ARAMA";50683;2006;3;"Accidente";"Sin informacion";"Rural";3.233389;-73.870988;"Carretera Via Costa Rica";"POINT (-73.870988 3.233389)";"2006-03-01";38777
"Desminado militar en operaciones";"NARIÑO";52;"TUMACO";52835;2019;4;"Incidente";"Sin informacion";"Rural";1.329722222;-78.5875;"EL VALLENATO";"POINT (-78.5875 1.329722222)";"2019-04-01";43556
"Desminado militar en operaciones";"CAQUETA";18;"SOLANO";18756;2016;5;"Incidente";"Sin informacion";"Rural";1.015555556;-75.10361111;"PUERTO TEJADA";"POINT (-75.10361111 1.015555556)";"2016-05-01";42491
"Desminado militar en operaciones";"META";50;"LA MACARENA";50350;2016;2;"Incidente";"Sin informacion";"Rural";2.173611111;-73.76305556;"LA FLORIDA";"POINT (-73.76305556 2.173611111)";"2016-02-01";42401
"Desminado militar en operaciones";"NARIÑO";52;"BARBACOAS";52079;2016;2;"Incidente";"Sin informacion";"Rural";1.466388889;-78.06472222;"BUENAVISTA";"POINT (-78.06472222 1.466388889)";"2016-02-01";42401
"Desminado militar en operaciones";"META";50;"SAN JUANITO";50686;2003;7;"Incidente";"Sin informacion";"Rural";4.459675;-73.679259;"";"POINT (-73.679259 4.459675)";"2003-07-01";37803
"Desminado militar en operaciones";"TOLIMA";73;"PLANADAS";73555;2012;6;"Incidente";"Sin informacion";"Rural";3.043611;-75.759167;"Vereda La Palmera";"POINT (-75.759167 3.043611)";"2012-06-01";41061
"Desminado militar en operaciones";"SANTANDER";68;"TONA";68820;2013;1;"Incidente";"Sin informacion";"Rural";7.230833333;-72.8977778;"Corregimiento Berlin";"POINT (-72.8977778 7.230833333)";"2013-01-01";41275
"Desminado militar en operaciones";"NARIÑO";52;"TUMACO";52835;2013;9;"Incidente";"Sin informacion";"Rural";1.6369;-78.4583;"Sector Bocas De Palay";"POINT (-78.4583 1.6369)";"2013-09-01";41518
"Desminado militar en operaciones";"ANTIOQUIA";5;"URRAO";5847;2008;1;"Incidente";"Sin informacion";"Rural";6.315899;-76.134258;"";"POINT (-76.134258 6.315899)";"2008-01-01";39448
"Desminado militar en operaciones";"VALLE DEL CAUCA";76;"PRADERA";76563;2011;11;"Incidente";"Sin informacion";"Rural";3.418889;-76.053889;"Cuchilla El Cedral";"POINT (-76.053889 3.418889)";"2011-11-01";40848
"Desminado militar en operaciones";"CAQUETA";18;"MONTAÑITA";18410;2004;12;"Incidente";"Sin informacion";"Rural";1.481396;-75.440068;"";"POINT (-75.440068 1.481396)";"2004-12-01";38322
"Desminado militar en operaciones";"TOLIMA";73;"RIOBLANCO";73616;2011;8;"Incidente";"Sin informacion";"Rural";3.425;-75.833333;"Vereda Peñas Blancas";"POINT (-75.833333 3.425)";"2011-08-01";40756
"Accidente por MAP";"ARAUCA";81;"TAME";81794;2005;10;"Accidente";"Sin informacion";"Rural";6.461209;-71.730855;"Area Rural";"POINT (-71.730855 6.461209)";"2005-10-01";38626
"Desminado militar en operaciones";"CAQUETA";18;"EL PAUJIL";18256;2005;6;"Incidente";"Sin informacion";"Rural";1.564369;-75.332045;"";"POINT (-75.332045 1.564369)";"2005-06-01";38504
"Accidente por MAP";"ANTIOQUIA";5;"TARAZÁ";5790;2009;10;"Accidente";"Sin informacion";"Rural";7.416944444;-75.80083333;"La Silleta";"POINT (-75.80083333 7.416944444)";"2009-10-01";40087
"Desminado militar en operaciones";"ANTIOQUIA";5;"TARAZÁ";5790;2011;8;"Incidente";"Sin informacion";"Rural";7.374444;-75.233056;"Vereda Pela Huevo";"POINT (-75.233056 7.374444)";"2011-08-01";40756
"Desminado militar en operaciones";"CAUCA";19;"PURACÉ";19585;2013;8;"Incidente";"Sin informacion";"Rural";2.365277778;-76.37555556;"Km 27 Via La Plata-Huila";"POINT (-76.37555556 2.365277778)";"2013-08-01";41487
"Desminado militar en operaciones";"SANTANDER";68;"CONTRATACIÓN";68211;2011;12;"Incidente";"Sin informacion";"Rural";6.277778;-73.49;"Via Guacamayo";"POINT (-73.49 6.277778)";"2011-12-01";40878
"Accidente por MAP";"META";50;"VISTAHERMOSA";50711;2006;2;"Accidente";"Sin informacion";"Rural";3.125088;-73.752373;"Vereda Costa Rica";"POINT (-73.752373 3.125088)";"2006-02-01";38749
"Desminado militar en operaciones";"ARAUCA";81;"ARAUQUITA";81065;2011;2;"Incidente";"Sin informacion";"Rural";6.909722;-71.396111;"Fundacion";"POINT (-71.396111 6.909722)";"2011-02-01";40575
"Desminado militar en operaciones";"ANTIOQUIA";5;"SAN ANDRÉS";5647;2013;9;"Incidente";"Sin informacion";"Rural";6.972777778;-75.62027778;"La Cordillera Parte Alta";"POINT (-75.62027778 6.972777778)";"2013-09-01";41518
"Desminado militar en operaciones";"BOGOTA DC";11;"Bogotá DC";11001;2015;2;"Incidente";"Sin informacion";"Rural";3.786111111;-74.3775;"Cuchilla El Tuste";"POINT (-74.3775 3.786111111)";"2015-02-01";42036
"Accidente por MAP";"ANTIOQUIA";5;"AMALFI";5031;2014;5;"Accidente";"Sin informacion";"Rural";7.101111111;-74.8625;"Vereda Baldio";"POINT (-74.8625 7.101111111)";"2014-05-01";41760
"Desminado militar en operaciones";"CAQUETA";18;"MONTAÑITA";18410;2014;8;"Incidente";"Sin informacion";"Rural";1.178888889;-75.07833333;"Vereda Gibraltar";"POINT (-75.07833333 1.178888889)";"2014-08-01";41852
"Desminado militar en operaciones";"ANTIOQUIA";5;"ANORÍ";5040;2016;6;"Incidente";"Sin informacion";"Rural";7.161944444;-75.08083333;"CARMEN";"POINT (-75.08083333 7.161944444)";"2016-06-01";42522
"Desminado militar en operaciones";"META";50;"VISTAHERMOSA";50711;2010;9;"Incidente";"Sin informacion";"Rural";2.7375;-73.914722;"El Filo Cielo";"POINT (-73.914722 2.7375)";"2010-09-01";40422
"Desminado militar en operaciones";"META";50;"LA MACARENA";50350;2009;6;"Incidente";"Sin informacion";"Rural";2.571389;-74.214722;"Puerto Manchas";"POINT (-74.214722 2.571389)";"2009-06-01";39965
"Desminado militar en operaciones";"NARIÑO";52;"LINARES";52411;2013;11;"Incidente";"Sin informacion";"Rural";1.429722222;-77.54166667;"San Jose";"POINT (-77.54166667 1.429722222)";"2013-11-01";41579
"Desminado militar en operaciones";"ARAUCA";81;"ARAUQUITA";81065;2012;5;"Incidente";"Sin informacion";"Rural";6.612222;-71.339444;"Vereda Nuevo Sol";"POINT (-71.339444 6.612222)";"2012-05-01";41030
"Accidente por MAP";"NORTE DE SANTANDER";54;"LABATECA";54377;2009;10;"Accidente";"Sin informacion";"Rural";7.198888889;-72.50972222;"Quebrada Sópala";"POINT (-72.50972222 7.198888889)";"2009-10-01";40087
"Sospecha de campo minado";"ANTIOQUIA";5;"SAN CARLOS";5649;2016;4;"Incidente";"Fincas";"Rural";6.13955;-74.97279;"SCM_BIDES_2016_4687";"POINT (-74.97279 6.13955)";"2016-04-01";42461
"Incautaciones";"ANTIOQUIA";5;"MEDELLÍN";5001;2003;3;"Incidente";"Sin informacion";"Urbana";6.229209;-75.564887;"";"POINT (-75.564887 6.229209)";"2003-03-01";37681
"Incautaciones";"BOLIVAR";13;"EL CARMEN DE BOLÍVAR";13244;2005;9;"Incidente";"Sin informacion";"Rural";9.649722;-75.060833;"";"POINT (-75.060833 9.649722)";"2005-09-01";38596
"Incautaciones";"ARAUCA";81;"FORTUL";81300;2006;7;"Incidente";"Sin informacion";"Rural";6.748889;-71.589167;"";"POINT (-71.589167 6.748889)";"2006-07-01";38899
"Desminado militar en operaciones";"NARIÑO";52;"RICAURTE";52612;2016;7;"Incidente";"Sin informacion";"Rural";1.18;-77.97416667;"SAN ISIDRO";"POINT (-77.97416667 1.18)";"2016-07-01";42552
"Sospecha de campo minado";"SANTANDER";68;"EL CARMEN";68235;2014;9;"Incidente";"Campo";"Rural";6.71024;-73.5028;"";"POINT (-73.5028 6.71024)";"2014-09-01";41883
"Desminado militar en operaciones";"ARAUCA";81;"FORTUL";81300;2013;11;"Incidente";"Sin informacion";"Rural";6.802222222;-71.74416667;"Vereda Los Guaduales";"POINT (-71.74416667 6.802222222)";"2013-11-01";41579
"Desminado militar en operaciones";"NORTE DE SANTANDER";54;"DURANIA";54239;2009;6;"Incidente";"Sin informacion";"Rural";7.784167;-72.683889;"El Hato Viejo";"POINT (-72.683889 7.784167)";"2009-06-01";39965
"Desminado militar en operaciones";"PUTUMAYO";86;"PUERTO GUZMÁN";86571;2005;3;"Incidente";"Sin informacion";"Rural";0.9575;-76.440556;"";"POINT (-76.440556 0.9575)";"2005-03-01";38412
"Desminado militar en operaciones";"ANTIOQUIA";5;"ITUANGO";5361;2010;8;"Incidente";"Sin informacion";"Rural";7.209722;-75.720833;"La Cumbre";"POINT (-75.720833 7.209722)";"2010-08-01";40391
"Desminado militar en operaciones";"PUTUMAYO";86;"PUERTO ASÍS";86568;2016;5;"Incidente";"Sin informacion";"Rural";0.3963888889;-76.69305556;"GUADUALITO";"POINT (-76.69305556 0.3963888889)";"2016-05-01";42491
"Desminado militar en operaciones";"NORTE DE SANTANDER";54;"TIBÚ";54810;2016;6;"Incidente";"Sin informacion";"Rural";8.908055556;-72.81138889;"VETAS CENTRAL";"POINT (-72.81138889 8.908055556)";"2016-06-01";42522
"Desminado militar en operaciones";"VALLE DEL CAUCA";76;"PRADERA";76563;2016;4;"Incidente";"Sin informacion";"Rural";3.3825;-76.20833333;"BOLIVAR";"POINT (-76.20833333 3.3825)";"2016-04-01";42461
"Desminado militar en operaciones";"ARAUCA";81;"ARAUQUITA";81065;2017;4;"Incidente";"Sin informacion";"Rural";6.623055556;-71.34194444;"RANCHO QUEMAO";"POINT (-71.34194444 6.623055556)";"2017-04-01";42826
"Desminado militar en operaciones";"CORDOBA";23;"PUERTO LIBERTADOR";23580;2010;2;"Incidente";"Sin informacion";"Rural";7.698333;-75.83;"Vereda La Antena";"POINT (-75.83 7.698333)";"2010-02-01";40210
"Accidente por MAP";"PUTUMAYO";86;"ORITO";86320;2003;10;"Accidente";"Sin informacion";"Rural";0.664866;-76.869171;"Vereda El Jardín";"POINT (-76.869171 0.664866)";"2003-10-01";37895
"Desminado militar en operaciones";"ARAUCA";81;"TAME";81794;2010;3;"Incidente";"Sin informacion";"Rural";6.466944;-71.473611;"La Honda";"POINT (-71.473611 6.466944)";"2010-03-01";40238
"Accidente por MAP";"ANTIOQUIA";5;"SAN FRANCISCO";5652;2005;5;"Accidente";"Sin informacion";"Rural";5.965414;-75.10198;"Vereda Alto La Osa";"POINT (-75.10198 5.965414)";"2005-05-01";38473
"Desminado militar en operaciones";"BOLIVAR";13;"SIMITÍ";13744;2014;4;"Incidente";"Sin informacion";"Rural";7.67083333;-74.21277778;"El Paraiso";"POINT (-74.21277778 7.67083333)";"2014-04-01";41730
"Desminado militar en operaciones";"ARAUCA";81;"TAME";81794;2013;3;"Incidente";"Sin informacion";"Rural";6.500277778;-71.3652778;"El Progreso";"POINT (-71.3652778 6.500277778)";"2013-03-01";41334
"Desminado militar en operaciones";"ANTIOQUIA";5;"ALEJANDRÍA";5021;2008;12;"Incidente";"Sin informacion";"Rural";6.386389;-75.084167;"Vereda San Isidro";"POINT (-75.084167 6.386389)";"2008-12-01";39783
"Desminado militar en operaciones";"META";50;"MESETAS";50330;2014;4;"Incidente";"Sin informacion";"Rural";3.275;-74.19111111;"Sector El Piñal";"POINT (-74.19111111 3.275)";"2014-04-01";41730
"Desminado militar en operaciones";"NARIÑO";52;"IPIALES";52356;2010;6;"Incidente";"Sin informacion";"Rural";0.438889;-77.134167;"La Vereda Santa Lucia";"POINT (-77.134167 0.438889)";"2010-06-01";40330
"Desminado militar en operaciones";"GUAVIARE";95;"SAN JOSÉ DEL GUAVIARE";95001;2019;2;"Incidente";"Sin informacion";"Rural";2.759166667;-71.87222222;"FILO GRILLO";"POINT (-71.87222222 2.759166667)";"2019-02-01";43497
"Incautaciones";"HUILA";41;"NEIVA";41001;2007;12;"Incidente";"Sin informacion";"Rural";2.942415;-75.296437;"";"POINT (-75.296437 2.942415)";"2007-12-01";39417
"Desminado militar en operaciones";"TOLIMA";73;"PLANADAS";73555;2012;7;"Incidente";"Sin informacion";"Rural";3.034722;-75.727778;"Vereda San Miguel";"POINT (-75.727778 3.034722)";"2012-07-01";41091
"Desminado militar en operaciones";"CAQUETA";18;"MONTAÑITA";18410;2014;2;"Incidente";"Sin informacion";"Rural";1.192222222;-75.10583333;"Vereda San Isidro";"POINT (-75.10583333 1.192222222)";"2014-02-01";41671
"Incautaciones";"BOLIVAR";13;"CLEMENCIA";13222;2005;2;"Incidente";"Sin informacion";"Rural";10.538611;-75.347222;"";"POINT (-75.347222 10.538611)";"2005-02-01";38384
"Desminado militar en operaciones";"PUTUMAYO";86;"PUERTO ASÍS";86568;2010;2;"Incidente";"Sin informacion";"Rural";0.321111;-76.5075;"Vereda Montañitas";"POINT (-76.5075 0.321111)";"2010-02-01";40210
"Desminado militar en operaciones";"META";50;"SAN JUAN DE ARAMA";50683;2011;8;"Incidente";"Sin informacion";"Rural";3.217222;-73.890833;"Vereda El Bosque";"POINT (-73.890833 3.217222)";"2011-08-01";40756
"Municiones sin explotar";"NORTE DE SANTANDER";54;"SARDINATA";54720;2007;11;"Incidente";"Sin informacion";"Rural";8.47;-72.91;"Uxo_Pp_10004869";"POINT (-72.91 8.47)";"2007-11-01";39387
"Desminado militar en operaciones";"VALLE DEL CAUCA";76;"PRADERA";76563;2005;3;"Incidente";"Sin informacion";"Rural";3.421264;-76.244964;"";"POINT (-76.244964 3.421264)";"2005-03-01";38412
"Incautaciones";"CALDAS";17;"SAMANÁ";17662;2006;12;"Incidente";"Sin informacion";"Rural";5.553889;-75.091389;"";"POINT (-75.091389 5.553889)";"2006-12-01";39052
"Desminado militar en operaciones";"CUNDINAMARCA";25;"GUTIÉRREZ";25339;2014;5;"Incidente";"Sin informacion";"Rural";4.169444444;-74.00444444;"Vrd Bazil";"POINT (-74.00444444 4.169444444)";"2014-05-01";41760
"Incautaciones";"BOLIVAR";13;"EL CARMEN DE BOLÍVAR";13244;2005;8;"Incidente";"Sin informacion";"Rural";9.667222;-75.025556;"";"POINT (-75.025556 9.667222)";"2005-08-01";38565
"Incautaciones";"ANTIOQUIA";5;"SAN FRANCISCO";5652;2003;4;"Incidente";"Sin informacion";"Rural";5.965414;-75.10198;"";"POINT (-75.10198 5.965414)";"2003-04-01";37712
"Desminado militar en operaciones";"META";50;"VISTAHERMOSA";50711;2009;8;"Incidente";"Sin informacion";"Rural";2.871667;-73.674444;"Las Brisas";"POINT (-73.674444 2.871667)";"2009-08-01";40026
"Desminado militar en operaciones";"PUTUMAYO";86;"PUERTO ASÍS";86568;2014;9;"Incidente";"Sin informacion";"Rural";0.515;-76.505;"Barrio Simon Bolivar";"POINT (-76.505 0.515)";"2014-09-01";41883
"Desminado militar en operaciones";"META";50;"URIBE";50370;2016;2;"Incidente";"Sin informacion";"Rural";2.990833333;-74.22083333;"LA ESPELDA";"POINT (-74.22083333 2.990833333)";"2016-02-01";42401
"Desminado militar en operaciones";"ARAUCA";81;"ARAUQUITA";81065;2011;11;"Incidente";"Sin informacion";"Rural";7.021667;-71.428611;"Salida De Arauquita Via La Union";"POINT (-71.428611 7.021667)";"2011-11-01";40848
"Desminado militar en operaciones";"CAUCA";19;"CORINTO";19212;2013;2;"Incidente";"Sin informacion";"Rural";3.156111111;-76.2769444;"Vereda San Rafael";"POINT (-76.2769444 3.156111111)";"2013-02-01";41306
"Desminado militar en operaciones";"HUILA";41;"TELLO";41799;2010;2;"Incidente";"Sin informacion";"Rural";3.067077;-75.138764;"Río Negro";"POINT (-75.138764 3.067077)";"2010-02-01";40210
"Incautaciones";"ARAUCA";81;"SARAVENA";81736;2006;8;"Incidente";"Sin informacion";"Rural";6.958339;-71.878277;"";"POINT (-71.878277 6.958339)";"2006-08-01";38930
"Desminado militar en operaciones";"CORDOBA";23;"MONTELÍBANO";23466;2013;2;"Incidente";"Sin informacion";"Rural";7.522777778;-75.9719444;"Cerro 842";"POINT (-75.9719444 7.522777778)";"2013-02-01";41306
"Desminado militar en operaciones";"CAQUETA";18;"FLORENCIA";18001;2010;9;"Incidente";"Sin informacion";"Rural";1.709167;-75.67;"Las Doradas";"POINT (-75.67 1.709167)";"2010-09-01";40422
"Desminado militar en operaciones";"PUTUMAYO";86;"PUERTO ASÍS";86568;2013;4;"Incidente";"Sin informacion";"Rural";0.5008333333;-76.3505556;"El Valdio";"POINT (-76.3505556 0.5008333333)";"2013-04-01";41365
"Desminado militar en operaciones";"NORTE DE SANTANDER";54;"TIBÚ";54810;2014;4;"Incidente";"Sin informacion";"Rural";8.59638888;-72.64555556;"Punta De Palo";"POINT (-72.64555556 8.59638888)";"2014-04-01";41730
"Desminado militar en operaciones";"TOLIMA";73;"DOLORES";73236;2011;3;"Incidente";"Sin informacion";"Rural";3.712222;-74.712778;"La Vereda Vegas Del Café";"POINT (-74.712778 3.712222)";"2011-03-01";40603
"Desminado militar en operaciones";"ANTIOQUIA";5;"SONSÓN";5756;2006;9;"Incidente";"Sin informacion";"Rural";5.714322;-75.311842;"";"POINT (-75.311842 5.714322)";"2006-09-01";38961
"Accidente por MAP";"CAQUETA";18;"SAN VICENTE DEL CAGUÁN";18753;2013;1;"Accidente";"Sin informacion";"Rural";2.267777778;-74.94805556;"Vereda El Leon";"POINT (-74.94805556 2.267777778)";"2013-01-01";41275
"Incautaciones";"ANTIOQUIA";5;"GRANADA";5313;2002;8;"Incidente";"Sin informacion";"Rural";6.143703;-75.185183;"";"POINT (-75.185183 6.143703)";"2002-08-01";37469
"Desminado militar en operaciones";"CORDOBA";23;"PUERTO LIBERTADOR";23580;2011;5;"Incidente";"Sin informacion";"Rural";7.498611;-75.7775;"Quebrada La Estrella";"POINT (-75.7775 7.498611)";"2011-05-01";40664
"Desminado militar en operaciones";"NORTE DE SANTANDER";54;"HACARÍ";54344;2013;4;"Incidente";"Sin informacion";"Rural";8.344444444;-73.0180556;"Vereda El Cobre";"POINT (-73.0180556 8.344444444)";"2013-04-01";41365
"Desminado militar en operaciones";"HUILA";41;"ALGECIRAS";41020;2012;7;"Incidente";"Sin informacion";"Rural";2.411389;-75.293056;"Vereda Las Perlas";"POINT (-75.293056 2.411389)";"2012-07-01";41091
"Accidente por MAP";"SANTANDER";68;"EL CARMEN";68235;1992;3;"Accidente";"Sin informacion";"Rural";6.703536;-73.509679;"Santo Domingo";"POINT (-73.509679 6.703536)";"1992-03-01";33664
"Desminado militar en operaciones";"PUTUMAYO";86;"SAN MIGUEL";86757;2013;7;"Incidente";"Sin informacion";"Rural";0.3083333333;-76.81361111;"San Francisco";"POINT (-76.81361111 0.3083333333)";"2013-07-01";41456
"Desminado militar en operaciones";"ANTIOQUIA";5;"COCORNÁ";5197;2000;2;"Incidente";"Sin informacion";"Rural";6.014722;-75.146667;"";"POINT (-75.146667 6.014722)";"2000-02-01";36557
"Desminado militar en operaciones";"GUAVIARE";95;"CALAMAR";95015;2005;2;"Incidente";"Sin informacion";"Rural";1.958453;-72.654146;"";"POINT (-72.654146 1.958453)";"2005-02-01";38384
